filename,newfilename,name,alias
7I.png,INC.png,Insel Air International,
7J.png,TJK.png,Tajik Air,
7K.png,,Kogalymavia Airlines,
7L.png,CRN.png,Aero Caribbean,
7M.png,MYI.png,Mayair,Aeromonterr
7N.png,PWD.png,PAWA Dominicana,
7O.png,TVL.png,Travel Service Hungary,
7P.png,PST.png,Air Panama,
7Q.png,,Elite Airways,
7R.png,RLU.png,RusLine,
7S.png,RYA.png,Ryan Air Services,
7T.png,,Trenitalia,
7U.png,,Alpha Air Transport,
7V.png,,Federal Airlines,Federal Airlines
7W.png,WRC.png,Wind Rose Aviation,
7Y.png,MYP.png,Mann Yadanarpon Airlines,
7Z.png,,Halcyon Air Cabo Verde,
8A.png,,Panama Airways,
8B.png,TNU.png,TransNusa Air Services,
8C.png,ATN.png,Air Transport International,
8D.png,,Servant Air,
8E.png,BRG.png,Bering Air,
8F.png,STP.png,STP Airways,
8G.png,MFG.png,Mid Africa Aviation,
8H.png,BGH.png,BH Air,
8I.png,NLU.png,Insel Air Aruba,
8J.png,,Línea Aerea Eco Jet,
8L.png,LKE.png,Lucky Air,
8M.png,MMA.png,Myanmar Airways International,
8N.png,REG.png,Regional Air Services,
8P.png,PCO.png,Pacific Coastal Airlines,Pac Coastal
8Q.png,OHY.png,Onur Air,
8R.png,OLS.png,Sol Líneas Aéreas,
8S.png,,Shun Tak China,
8T.png,TID.png,Air Tindi,
8U.png,AAW.png,Afriqiyah Airways,
8V.png,ACP.png,Astral Aviation,
8W.png,EDR.png,Fly All Ways Airlines,
8Y.png,AAV.png,Pan Pacific Airlines,
8Z.png,CGA.png,Congo Airways,
9A.png,,Aladia Airlines,Airatlantic
9B.png,,AccesRail,
9C.png,CQH.png,Spring Airlines,
9E.png,FLG.png,Endeavor Air,
9F.png,,Eurostar,
9G.png,,9G Rail,
9H.png,CGN.png,Chang An Airlines,
9I.png,LLR.png,Air India Regional,
9J.png,DAN.png,Dana Air,
9K.png,KAP.png,Cape Air,
9L.png,WLN.png,West Link Airways,
9M.png,GLR.png,Central Mountain Air,
9N.png,TOS.png,Tropic Air,
9P.png,PTR.png,Air Arabia Jordan,Petra Airlines
9Q.png,CXE.png,Caicos Express Airways,PB Air
9R.png,NSE.png,SATENA,
9S.png,SOO.png,Southern Air,
9T.png,RUN.png,MyCargo Airlines,
9U.png,MLD.png,Air Moldova,
9V.png,ROI.png,Avior Airlines,
9W.png,JAI.png,Jet Airways,
9X.png,FDY.png,Southern Airways Express,
A0.png,MCJ.png,Macair Jet,
A1.png,,G Switch Works,
A2.png,AZI.png,Astra Airlines,
A3.png,AEE.png,Aegean Airlines,
A4.png,,Azimuth,
A5.png,HOP.png,HOP!,
A6.png,HTU.png,Yunnan Hongtu Airline,
A7.png,CFV.png,Aéreo Calafia,Aereo Calafia
A8.png,XAU.png,Aerolink Uganda,
A9.png,,Georgian Airways,Arizena Air
AA.png,AAL.png,American Airlines,
AC.png,ACA.png,Air Canada,
AD.png,AZU.png,Azul Brazilian Airlines,Azul Linhas Aéreas Brasileiras
AE.png,MDA.png,Mandarin Airlines,
AF.png,AFR.png,Air France,
AG.png,,Aruba Airlines,
AH.png,DAH.png,Air Algerie,
AI.png,AIC.png,Air India,
